Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,15.859429,15.944529,15.754989,15.917452,10.441108,48051995
1996-01-02,15.878770,15.956133,15.677626,15.793671,10.359914,77875009
1996-01-03,16.052837,16.783918,15.878770,15.913584,10.438571,96602936
1996-01-04,15.762726,15.813012,15.553845,15.766594,10.342153,100099436
1996-01-05,15.704703,15.704703,15.522900,15.658285,10.271107,76935930
1996-01-08,15.627340,15.638945,14.876918,15.031645,9.860059,86288584
1996-01-09,14.586807,14.853709,14.099419,14.598411,9.575878,179415702
1996-01-10,14.312168,14.656434,14.157442,14.223200,9.329760,127653926
1996-01-11,14.080079,14.737665,14.060738,14.668038,9.621552,189051436
1996-01-12,14.776346,14.888523,14.416608,14.513312,9.520059,172918416
1996-01-15,14.470762,14.544257,14.281223,14.362454,9.421104,92291448
1996-01-16,14.312168,14.466894,14.265750,14.389531,9.438863,100259719
1996-01-17,14.312168,14.331509,13.697132,13.817044,9.063338,138279150
1996-01-18,13.465042,13.685527,13.290975,13.434097,8.812143,174217485
1996-01-19,13.248426,13.414756,13.109172,13.198140,8.657367,149773006
1996-01-22,13.240689,13.596560,13.229085,13.422493,8.804531,156270292
1996-01-23,13.468910,13.526933,12.146002,12.853874,8.431540,163795200
1996-01-24,12.741698,12.819061,12.223365,12.412905,8.142289,162072156
1996-01-25,12.385827,12.439982,11.817209,11.890704,7.799749,166534879
1996-01-26,11.890704,11.890704,11.890704,11.890704,7.799749,0
1996-01-29,11.836550,12.938973,11.763055,12.826797,8.413783,301314299
1996-01-30,13.229085,14.621620,13.035677,13.979507,9.169907,490083300
1996-01-31,13.847990,14.370190,13.325789,13.673923,8.969456,337615209
1996-02-01,13.538537,14.312168,13.499856,14.223200,9.329760,295555091
1996-02-02,14.602279,15.936792,14.602279,15.766594,10.342153,377841766
1996-02-05,16.633060,17.422163,16.134068,17.077898,11.202310,564175497
1996-02-06,17.487923,17.793507,15.286943,15.646681,10.263494,573328443
1996-02-07,14.780215,16.091518,14.625488,15.936792,10.453795,413246254
1996-02-08,16.099255,17.611704,15.936792,17.329329,11.367236,379193186
1996-02-09,17.948233,18.721863,17.337065,18.335049,12.026938,458934072
1996-02-12,17.870869,18.180323,16.942513,17.186207,11.273353,448392867
1996-02-13,17.019875,18.888193,16.872887,18.219004,11.950820,470284449
1996-02-14,18.683182,18.950085,18.091354,18.230608,11.958434,287264960
